"type","major","minor","amount","rate","value","fee","total","timestamp","datetime"
"buy","btc","mxn","0.00099238","403110","400.03830180","0.00000645","0.00098593","1678131038","03/06/2023 13:30:38"
"buy","eth","mxn","0.00693338","28200","195.52131600","0.00004507","0.00688831","1678131025","03/06/2023 13:30:25"
"buy","eth","mxn","0.08420000","28207","2375.02940000","0.00054730","0.08365270","1678130927","03/06/2023 13:28:47"
"buy","btc","mxn","0.01000000","402940","4029.40000000","0.00006500","0.00993500","1678130764","03/06/2023 13:26:04"
"buy","btc","mxn","0.00063718","313880","199.99805840","0.00000414","0.00063304","1669739332","11/29/2022 10:28:52"
"buy","eth","mxn","0.00818910","23204","190.01987640","0.00005323","0.00813587","1669739317","11/29/2022 10:28:37"
"buy","eth","mxn","0.02014415","24834","500.25982110","0.00013094","0.02001321","1668189583","11/11/2022 11:59:43"
"buy","btc","mxn","0.00303352","329570","999.75718640","0.00001972","0.00301380","1668189551","11/11/2022 11:59:11"
"buy","btc","mxn","0.00153510","325690","499.96671900","0.00000998","0.00152512","1668058238","11/09/2022 23:30:38"
"buy","btc","mxn","0.00043828","356700","156.33447600","0.00000219","0.00043609","1667938671","11/08/2022 14:17:51"
"buy","btc","mxn","0.00006634","356700","23.66347800","0.00000033","0.00006601","1667938668","11/08/2022 14:17:48"
"buy","btc","mxn","0.00079908","375430","299.99860440","0.00000519","0.00079389","1665663410","10/13/2022 07:16:50"
"buy","btc","mxn","0.00129769","385290","499.98698010","0.00000843","0.00128926","1665426075","10/10/2022 13:21:15"
"buy","eth","mxn","0.00370507","26990","99.99983930","0.00002408","0.00368099","1664484697","09/29/2022 15:51:37"
"buy","btc","mxn","0.00050731","394230","199.99682130","0.00000330","0.00050401","1664484685","09/29/2022 15:51:25"
"buy","btc","mxn","0.00053920","370990","200.03780800","0.00000270","0.00053650","1663809118","09/21/2022 20:11:58"
"buy","btc","mxn","0.00215889","370540","799.95510060","0.00001403","0.00214486","1663809014","09/21/2022 20:10:14"
"buy","btc","mxn","0.00108885","400560","436.14975600","0.00000544","0.00108341","1662060269","09/01/2022 14:24:29"
"buy","eth","mxn","0.01268673","31529","399.99991017","0.00008246","0.01260427","1662060243","09/01/2022 14:24:03"
"buy","btc","mxn","0.00041000","400560","164.22960000","0.00000267","0.00040733","1662060227","09/01/2022 14:23:47"
"buy","btc","mxn","0.00122549","407696.85","499.62841271","0.00000797","0.00121752","1657741418","07/13/2022 14:43:38"
"buy","btc","usd","0.00075425","19407.06","14.63777501","0.00000075","0.00075350","1657654958","07/12/2022 14:42:38"
"buy","btc","mxn","0.00078885","380300.00","299.99965500","0.00000394","0.00078491","1656621493","06/30/2022 15:38:13"
"buy","eth","mxn","0.00392379","25492.67","100.02788362","0.00002550","0.00389829","1655155588","06/13/2022 16:26:28"
"buy","btc","mxn","0.00052507","476061.81","249.96577458","0.00000341","0.00052166","1655155569","06/13/2022 16:26:09"
