"from_currency","to_currency","from_amount","to_amount","price","price_currency","timestamp","datetime"
"btc","usd","0.00400000","242.97859436","60744.64859000","usd","1709138488","02/28/2024 10:41:28"
"usd","btc","50.83000000","0.00095988","52954.53598366","usd","1708100089","02/16/2024 10:14:49"
"usd","mxn","500.00000000","8529.35497920","17.05870995","mxn","1706732686","01/31/2024 14:24:46"
"usd","btc","39.53221043","0.00100000","39532.21043000","usd","1706023907","01/23/2024 09:31:47"
"usd","btc","40.85661922","0.00100000","40856.61922000","usd","1705955621","01/22/2024 14:33:41"
"usd","btc","41.56656189","0.00100000","41566.56189000","usd","1705901064","01/21/2024 23:24:24"
"usd","btc","220.00000000","0.00508391","43273.77943354","usd","1705389327","01/16/2024 01:15:27"
"btc","usd","0.00646017","297.79455339","46097.01499960","usd","1704739883","01/08/2024 12:51:23"
"btc","usd","0.00446538","200.00000000","44789.02131509","usd","1704736610","01/08/2024 11:56:50"
"btc","usd","0.00884565","394.00000000","44541.66737322","usd","1704208212","01/02/2024 09:10:12"
"mxn","btc","500.00000000","0.00067942","735921.81566630","mxn","1703002282","12/19/2023 10:11:22"
"mxn","btc","500.00000000","0.00075332","663728.56156746","mxn","1701358273","11/30/2023 09:31:13"
"mxn","btc","500.00000000","0.00097647","512048.50123403","mxn","1697472715","10/16/2023 10:11:55"
"mxn","btc","500.00000000","0.00098150","509424.35048395","mxn","1689878430","07/20/2023 12:40:30"
"mxn","btc","500.00000000","0.00098628","506955.42847872","mxn","1689713645","07/18/2023 14:54:05"
"mxn","btc","500.00000000","0.00102632","487177.48850261","mxn","1687286201","06/20/2023 12:36:41"
"mxn","btc","500.00000000","0.00111130","449923.51300278","mxn","1686935725","06/16/2023 11:15:25"
"mxn","btc","500.00000000","0.00102915","485837.82733323","mxn","1685563188","05/31/2023 13:59:48"
"mxn","btc","250.00000000","0.00050455","495491.03161232","mxn","1683753492","05/10/2023 15:18:12"
"mxn","btc","500.00000000","0.00094078","531473.88337337","mxn","1682613737","04/27/2023 10:42:17"
"mxn","btc","1000.00000000","0.00200738","498161.78302065","mxn","1682107642","04/21/2023 14:07:22"
"btc","mxn","0.00103527","500.00000000","482965.79636230","mxn","1682107620","04/21/2023 14:07:00"
"mxn","btc","1028.42799000","0.00200000","514213.99500000","mxn","1681021091","04/09/2023 00:18:11"
"eth","mxn","0.10636988","3483.99128523","32753.55096038","mxn","1681021033","04/09/2023 00:17:13"
"mxn","btc","1552.47956370","0.00300000","517493.18790000","mxn","1680636395","04/04/2023 13:26:35"
"eth","mxn","0.10000000","3325.57709400","33255.77094000","mxn","1680636098","04/04/2023 13:21:38"
"btc","mxn","0.00590000","2859.06215521","484586.80596779","mxn","1680028965","03/28/2023 12:42:45"
"btc","mxn","0.00850000","3667.23872500","431439.85000000","mxn","1675788801","02/07/2023 10:53:21"
"mxn","btc","83.21000000","0.00024917","333948.70971625","mxn","1672678225","01/02/2023 10:50:25"
"mxn","eth","200.00000000","0.00828010","24154.29765340","mxn","1672117512","12/26/2022 23:05:12"
"mxn","btc","300.00000000","0.00089946","333533.45340537","mxn","1672117447","12/26/2022 23:04:07"
"mxn","btc","100.00000000","0.00030231","330786.27898514","mxn","1671843559","12/23/2022 18:59:19"
"mxn","btc","300.00000000","0.00088004","340893.59574564","mxn","1670345325","12/06/2022 10:48:45"
"mxn","eth","300.00000000","0.01191115","25186.48493218","mxn","1670345305","12/06/2022 10:48:25"
"eth","mxn","0.00613679","150.00000000","24442.74612623","mxn","1670345276","12/06/2022 10:47:56"
"usd","btc","20.00000000","0.00096633","20696.86339035","usd","1667231509","10/31/2022 09:51:49"
"usd","eth","14.83000000","0.00931087","1592.76200827","usd","1667231482","10/31/2022 09:51:22"
"mxn","btc","200.00000000","0.00050740","394166.33819471","mxn","1666561080","10/23/2022 16:38:00"
"mxn","usd","700.02000000","34.76407248","20.13630596","mxn","1666471186","10/22/2022 15:39:46"
"mxn","usd","150.00000000","7.28432805","20.59215331","mxn","1657299805","07/08/2022 12:03:25"
"mxn","usd","150.00000000","7.33066316","20.46199596","mxn","1656781306","07/02/2022 12:01:46"
"mxn","eth","300.00000000","0.00308374","97284.46626498","mxn","1638464280","12/02/2021 10:58:00"
"mxn","btc","300.00000000","0.00024573","1220852.15480405","mxn","1638464153","12/02/2021 10:55:53"
"mxn","btc","550.00000000","0.00045910","1197996.07928555","mxn","1638125224","11/28/2021 12:47:04"
"mxn","btc","250.00000000","0.00020434","1223451.11089360","mxn","1637766602","11/24/2021 09:10:02"
"mxn","eth","200.00000000","0.00224317","89159.53761863","mxn","1637334741","11/19/2021 09:12:21"
"mxn","btc","500.00000000","0.00040975","1220256.25381330","mxn","1637334704","11/19/2021 09:11:44"
"mxn","btc","500.00000000","0.00039698","1259509.29517859","mxn","1637160440","11/17/2021 08:47:20"
